codigo;marcaDeTiempo;mensaje;indicesFicherosModificados
59h43jh6;19910106181344;I don't know what these changes are supposed to accomplish but somebody told me to make them.;122,1,42,36,87,97
94053gpm;20080427132021;I would rather be playing SC2.;145,16,167,133,10,114,112
9cam5uzs;19990815113003;woa!! this one was really HARD!;49,175,88
50tgq9i6;19910224022722;first blush;136,129,132,173,9,180
s8s0znvb;20150906092837;Same as last commit with changes;189,119,165,8
tlh38ujl;19990307020349;Too tired to write descriptive message;88,138,71,181,189
ya196bzi;20110710053333;final commit.;114,144
g2r0g4p5;20120610145742;restored deleted entities just to be sure;166
q0btp1gm;19900121104859;some brief changes;141,171,184,149,139
vh5ds7rl;19940619213227;One does not simply merge into master;113,156,168,105
yb6m051c;19960414051906;fixed some minor stuff, might need some additional work.;15,79
5rm2m8ul;19981011102813;yo recipes;21,132,173,191,49
y9gu9klb;19940424003511;You can't see it, but I'm making a very angry face right now;101,57,37,57,118,132,92
weidecsk;19970601111508;better ignores;6,94,128,155,7,38
87zx4c0o;20040404025456;Obligatory placeholder commit message;90,76,127
169x2ewb;20090125175347;i think i fixed a bug...;177
ruc89wd3;20120715122128;pep8 - cause I fell like doing a barrel roll;195,60,77,97,22,184,54
9qd65ful;19960908161034;Final commit, ready for tagging;15
o9tus47s;20140518202128;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;23,106,127,50,43
aoxae3yr;19980913171038;For real, this time.;177,180,48,126,2
yvcpjmql;20140323122317;added security.;59,9,132,151,164,94,14
kflzrw1t;19900429230548;Committed some changes;152,108
9ccsp0ul;20030914102936;Do things better, faster, stronger;114,118,162,21,8,109
4iacwtwu;20111218090933;pointless limitation;131,180,16,112
kxinwhu4;20110213043448;Made it to compile...;61,20,144,96,164,125,126
nhsos1xk;20000611235726;For real, this time.;173,2,19,151,193,32
6o2cvspn;20110522234903;To those I leave behind, good luck!;58
yatfmbh3;19930228225338;bugger;7,66,28,167
dqhkgoaz;20090426004013;fix;6,17
xzw3voyn;20041219022410;It was the best of times, it was the worst of times;36
3zyze20n;20070304195441;My bad;150,22,7,86,164
7ihyidmz;20150111004933;This solves it.;2
xv7pftqn;19951217002824;Removed code.;67
jpvwkpfi;19920607193636;Another bug bites the dust;57,176,195,162,163,154
y3eqs1r0;20091227105218;grmbl;122,147
vcdtn29q;20050918195458;I expected something different.;177,76,39,21,48,29
ocog1jg6;19980628035532;fix tpyo;144,64,25,185,18,90,85
u06qs1xc;20110710214717;ALL SORTS OF THINGS;186,149,179,39
z3788l3i;19940911092230;I am sorry;139,80,105,24,147
31t34hi3;19930509012557;Temporary commit.;69,150,54,185
iz6d9i1q;19910224172928;syntax;159,115,3,54
ne2wtd6x;19900311015037;needs more cow bell;89,57,113,163,36,60,97
ifj4tbb7;19991010145433;I would rather be playing SC2.;157,77,69
6yxs92c4;20020602111811;Update .gitignore;193,119,95,126,198,125,79
3zqvpame;20051023221752;Batman! (this commit has no parents);113,177,115,40
3t88zv5r;20100718133005;and so the crazy refactoring process sees the sunlight after some months in the dark!;34,151,181,80,180,118,138
22iwzol8;20020915081750;Fixed errors;84,144,88,9
vdf2pzpz;19980419130214;Add Sandbox;134,162,109,62,151,7,187
0a5djh3l;20030518060529;de-misunderestimating;121,129,13,118,190,73,6
m901gdwm;20061105070645;I don't know what these changes are supposed to accomplish but somebody told me to make them.;117,66,145,15
a3to3a7j;19990718181649;I would rather be playing SC2.;171,27,36,35,26
aiztp6u6;20110220213547;woa!! this one was really HARD!;158,189,188,96,34
tu7yv8sf;19930404090307;first blush;155,104,175,128
eu8ko3ny;20080511183935;Same as last commit with changes;19,166,197,153,42,197,96
ot4fyggo;19910609175033;Too tired to write descriptive message;34,193
vxbe8tgv;20080803015722;final commit.;193,166,8
3xwr7d04;20061001124148;restored deleted entities just to be sure;113,112,156
bf0x5s1g;19970803163115;some brief changes;74
rv8wsvcr;19981213175017;One does not simply merge into master;142,160,36,35,164,97,121
qnytcr3h;19951203134038;fixed some minor stuff, might need some additional work.;153,186,97,137
mawaeo8p;20071007203659;yo recipes;51,187,144,30,39,132
krdicqrq;20000409000116;You can't see it, but I'm making a very angry face right now;144
jz43nemq;20140309035610;better ignores;104,62
eudbc5pi;20100725103328;Obligatory placeholder commit message;173,152,75
ip3gt1ll;19981220094641;i think i fixed a bug...;186,93,38,173
1h4apgd2;20000625123209;pep8 - cause I fell like doing a barrel roll;96,190,160,196,90,40,172
epmqzno4;20061008230957;Final commit, ready for tagging;53,26,50,156,81,187,148
hsg0jfqu;19920614102218;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;108,89,34,139,117
f1feggqs;20061015185827;For real, this time.;104,184,136,47,62
ne161sxj;20040125112426;added security.;62,174,117,6
q0ktu52k;20140504101212;Final commit, ready for tagging;22
py6kdkna;19990606162524;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;19,4,199,92,160,35
2wlxrtmc;20030824181326;For real, this time.;59,102,198,154,175,22,53
5ktqrm06;20010826011409;added security.;196,22,49,181,29,160
u0ciouf8;20121111013905;Committed some changes;24,42,7,68,200,136,174
irj8qeo5;20150823151024;Do things better, faster, stronger;111,3,74
bfazwubg;19910317214224;pointless limitation;9,75,68,200,194,166,98
vo7y5tog;20140330111126;Made it to compile...;14
n45pinej;20131020061701;For real, this time.;141,99,16,49,79,15,24
v9t8qusb;19961201010616;To those I leave behind, good luck!;48,78
08ampk45;19920209015604;bugger;143,92,151,30,91,164,78
7lhuo26k;20080120074241;fix;191,34,163,174,195,42,151
qauhvcz6;20140615100801;It was the best of times, it was the worst of times;154
hotwy1hy;20080615064204;My bad;17,103
qob4f043;20150222133728;This solves it.;190,87,30
80je7zf5;19950205072159;Removed code.;196,27,61,98,50
jub47jrq;19911208074726;Another bug bites the dust;115,69,21,185,84,193
ei77fz43;19930613022912;grmbl;101,38,144,124,28
5ezv3jj1;19950827212409;I expected something different.;99
qfxwbe3u;20050529035550;fix tpyo;162,60,71,74,176,7
7t63qiap;19960714054327;ALL SORTS OF THINGS;17,197,63,34,131
w3s6z1x0;20130609202038;I am sorry;6,86,178,196
oxpi8zlt;20101107075036;Temporary commit.;59,145
roah6qt1;19961222100414;syntax;116,5,17,185,150,87,147
3e6ghe6m;20140504124932;needs more cow bell;144,107,186,80,142,196
g39l3ogw;20070225170413;I would rather be playing SC2.;133,129,146
qt5sdync;20111016124954;Update .gitignore;61,123,195,78
2vf5og8f;20010204065021;Batman! (this commit has no parents);110,79,167,116,92
scpxu4we;20040321194125;and so the crazy refactoring process sees the sunlight after some months in the dark!;188,90,157,40,155,189
cjc8y9xn;19930307184535;Fixed errors;25,142
2y4umoy2;20020324214656;Add Sandbox;65,170,111,191
5z0pkrpg;20071014050816;de-misunderestimating;31,55,24,103
9k9hl7be;20141102115736;I don't know what these changes are supposed to accomplish but somebody told me to make them.;122,80,185,153,127,103,7
1xnutvu9;20060924173905;I would rather be playing SC2.;126,143,146,75,183
w7cfxb8x;20050130142920;woa!! this one was really HARD!;71
nxdpt74f;19970504123959;first blush;15,103,86,17,23,77,86
a9nyy4b7;20031214003053;Same as last commit with changes;161,180,147,45,20,94
ed8utm14;19921025131809;Too tired to write descriptive message;93,163,142,147,115
1kgandq9;20041003074253;final commit.;81
ysm3bjpw;20060416010101;restored deleted entities just to be sure;125,51,113,150,123,65
ieeiwur7;20040328185348;some brief changes;50,185,181
aspoj2jo;20070408065108;One does not simply merge into master;25
pw61g4ac;19911006213017;fixed some minor stuff, might need some additional work.;74
73sqccbt;19921227012115;yo recipes;177,27,136
dl0ibtpz;20150809034957;You can't see it, but I'm making a very angry face right now;149,92,17,148,89,55,110
kaawfxdf;19990627083135;better ignores;11,35,87
45ued5yo;20070826231012;Obligatory placeholder commit message;86,46,116,91,132,81,58
7ycyjh9t;20060924141227;i think i fixed a bug...;174
rh3tmnzq;20071014055810;pep8 - cause I fell like doing a barrel roll;109,136,99,125,190
nyc6gkx0;20120325094308;Final commit, ready for tagging;53,177,144,80,29
y34httvu;20060430190152;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;158,8,49,156,182
fjvrcm0d;20120603200456;For real, this time.;22,193,166
511o8anl;19960526130525;added security.;194,82,86,39,46,2,105
c2q05ksy;20011007190524;Committed some changes;195
p4x1god1;20070318203108;Do things better, faster, stronger;127
2nzma1c4;20080615122702;pointless limitation;104,111,108,65,152,33
k271e4nc;19990321050939;Made it to compile...;138
ahakhcy6;20111023233117;For real, this time.;109,122,173,153
b2eqhnx8;19901118104023;To those I leave behind, good luck!;66,135,182
395u0r8e;19910324210620;bugger;45
z77g3ola;19911103222928;fix;45,191
0nswyv92;19980118175117;It was the best of times, it was the worst of times;25,112,128,27,114
a8xetq7x;20000326203501;My bad;139,186
0qp7f6pn;20101121220223;This solves it.;176,34
vjf11cmy;19900506111201;Removed code.;112,158
ap3jmggy;20111211102504;Another bug bites the dust;200
tiok1tab;20061217084613;grmbl;37
9r9d5dpc;19900603175022;I expected something different.;79,194,23,18,69
6iaj8tsw;19980726213317;fix tpyo;127,155,91,135,67
4chxpu1l;20041114225910;ALL SORTS OF THINGS;168,43,188,70,31,128,171
k93vzhg1;20110424082846;I am sorry;112,64,195
3akhns9i;20140511100047; - Temporary commit.;30
nycxf83e;19960225235538;syntax;182
x52bv8eo;19980503001724;needs more cow bell;20,117,187
rm5khrxy;19900121222127;I would rather be playing SC2.;138,160,51,6,196
ot8sq8mp;20070701060634;Update .gitignore;183,69,71,70,107,175
3lpkzkxg;19910127190825;Batman! (this commit has no parents);190,199,76,162,60,32
z8b6aumt;20050130071912;and so the crazy refactoring process sees the sunlight after some months in the dark!;96,73,11,77
lg8le9rm;19950702033413;Fixed errors;33,154
x47inm3w;20111211173158;Add Sandbox;159,156
6k50b2yc;20110619181555;de-misunderestimating;81,108,161,142,3,84,116
u534i13m;20000716204743;I don't know what these changes are supposed to accomplish but somebody told me to make them.;199,39,61,167
9ydzfd2t;19940522130723;I would rather be playing SC2.;121,57,26
o1j4u9sq;20130120032425;woa!! this one was really HARD!;87
rcd940ky;19940529002720;first blush;145,2,162,150,46,29
fwzcdeso;19960908163405;Same as last commit with changes;114,169,79,114
y103eqkb;20030824053853;Too tired to write descriptive message;20
i79ee38d;20141116193637;final commit.;66,107,69,106
ovrio0vf;20110612070145;restored deleted entities just to be sure;35,115,133,52
n3zbaykm;19970316142958;some brief changes;82,13,31
lckfipz0;19970518223923;One does not simply merge into master;137
slti0f71;20100124053847;fixed some minor stuff, might need some additional work.;43,116,145,82
sbademey;20050227054831;yo recipes;150
xy4p0405;20110710144121;You can't see it, but I'm making a very angry face right now;123,75,74
83utevxh;19980823193845;better ignores;140,75,198,69,174
7kt8j5iy;20030511004719;Obligatory placeholder commit message;107
nvygnpf3;20150118192538;i think i fixed a bug...;19,132
0mxt0w8v;20020825022055;pep8 - cause I fell like doing a barrel roll;54,87,172,180,161,165
wjgvq1kp;20111113052311;Final commit, ready for tagging;8,70,156
83mw2e1e;19951210035502;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;158,175,101
3mhmd0ic;20060903091247;For real, this time.;40,55,49,36
vz39n3j0;20020210214742;added security.;94,120,19,56,110,81,106
moz76ntx;19961215030341;Committed some changes;141,86,144
j99dwg63;19951008081846;Do things better, faster, stronger;129
56ib3a4q;19960707010010;pointless limitation;132,26,88,21
acj97hac;20090531192047;Made it to compile...;70,88,162,91,199,49
s1oygybl;19940313053722;For real, this time.;4,196,170,101,157,51,95
5h2itlt8;20100725095912;To those I leave behind, good luck!;97
k86w8n7q;20080316180133;bugger;163,27,5,135,13
rjdu8ffc;20110619234033;fix;118,141,2,10,97,79,114
ujwwlrk9;20070819044119;It was the best of times, it was the worst of times;36,198,113,18,80
bhkaem4n;20100103165439;My bad;104,31,160
vf7m5zor;20041121234405;This solves it.;111,142,152,42,152
srvg6vtd;20140615003112;Removed code.;197,188,55,33,85
zyjb0rrv;20021020162328;Another bug bites the dust;159
ne6s1bmn;19900909050226;grmbl;184,156,123,25,94,96
dflm1o4n;20111218081218;I expected something different.;64,130,19,6,142,147
mq6et281;20060507080259;fix tpyo;146,198,2,127,141
g771lrfo;20141026161733;ALL SORTS OF THINGS;112,54,67,107
k281cq93;19960714130715;I am sorry;41,25,13,43,70,9
5rsqnv1i;20040523163200; - Temporary commit.;80,11,3
e889giw3;19940109024219;syntax;86,142,52,104,173
2vkrigo3;20151108171438;needs more cow bell;108,79,44,140,156,147,127
hxrlv49n;19991226034009;I would rather be playing SC2.;66,58,76,188,10,167,93
c7bmyou1;20121125024728;Update .gitignore;175,140,78,37,168,6
h84y4rn4;20010325134957;Batman! (this commit has no parents);115,76
w4er6i2j;19981018062204;and so the crazy refactoring process sees the sunlight after some months in the dark!;151,125,186,22
0qciyvw9;20000319055507;Fixed errors;131,182,39,86
g38cigk8;20021110044913;Add Sandbox;19,162,17,197,72
kngbolw1;20030323205843;de-misunderestimating;7,46,149,41,179
0njsxpfo;19920802154506;I don't know what these changes are supposed to accomplish but somebody told me to make them.;125,47,80,76
ioz89g6n;19920920005321;I would rather be playing SC2.;71,49,31,84
6vnkqymo;19920712081415;woa!! this one was really HARD!;18
arvuapyb;20050227025336;first blush;146
hjmacddh;20051009013016;Same as last commit with changes;56,58,189
zcfvissg;19930530112046;Too tired to write descriptive message;117,105,135,87
nkbc1mlv;19980712022129;final commit.;27,150,140,138,197,150,34
5l7r8jmr;20051016052338;restored deleted entities just to be sure;186,152,178,187,91,156
35cemnak;19980322031647;some brief changes;98,156,20,137,167
82m47rbi;20000123144847;One does not simply merge into master;167,144,170,15
1w1u28im;19980802202814;fixed some minor stuff, might need some additional work.;14,15,30,99,74,123,120
6bs4ec8k;20060219044314;yo recipes;141,118,149,1,5,1,157
7410qt34;19970615172946;You can't see it, but I'm making a very angry face right now;77,87,158,108,198,198,66
qnpr5xl9;20000730032742;better ignores;86,170,197
qy7xhz6w;20041017154933;Obligatory placeholder commit message;15,175
19ua9it9;20120101082101;i think i fixed a bug...;141,195,125
dg7m93p0;20001029060407;pep8 - cause I fell like doing a barrel roll;75
o6y0xm9s;20081207035124;Final commit, ready for tagging;78,88,193,153,127
wst3eaf1;19901216003519;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;73,74,23,7,116,132
pgjzdaid;20080420002114;For real, this time.;105,18
e43zoyau;20120325185131;added security.;2,4
x9bze2j6;19920426025843;Committed some changes;100,139
tg38z00l;19991024212132;Do things better, faster, stronger;94,41,14,36,141
omzdtxbs;20110828013301;pointless limitation;46,122,53,73
84zdhi6x;20110703195954;Made it to compile...;20,184
nkdrd3k8;19960804215816;For real, this time.;119,15,149
n5caiorb;19950924000501;To those I leave behind, good luck!;12,89,92,13,24
a6o18cqb;20110828033023;bugger;138,181,165,161
k3sitrq1;20120916212628;fix;23,142,119
334l8myb;20141005222741;It was the best of times, it was the worst of times;147,44,82,156
zwk5aj3b;20111120194442;My bad;166,97,114,36,60,81,118
w3nemq05;20051009091235;This solves it.;125,180,4
wzqqc25s;19990822233614;Removed code.;125,98
hsnejgok;19980315004752;Another bug bites the dust;85
2ibqez3c;20110320092735;grmbl;195,40,118,143,10,36
wjufw1dm;20140727044929;I expected something different.;6,53,122
ma8y8sh0;20011111081932;fix tpyo;152,90,187
ip60a0nq;19990221180539;ALL SORTS OF THINGS;153,32
pfp8sl2b;20140427172125;I am sorry;40
chrxwv37;20011216150938;Temporary commit.;77,104,150,1
inzsmzy8;20150830111505;syntax;145
f8kyeqqa;20090920002503;needs more cow bell;169,32,55,71,112,53
rthu9049;19961208085204;I would rather be playing SC2.;57,167,178,61,23
8629pn8q;20080601074709;Update .gitignore;164,182,93
30rlz8nr;20141005215158;Batman! (this commit has no parents);184,34,151
45zyiiyu;19990425040800;and so the crazy refactoring process sees the sunlight after some months in the dark!;24
66c93uhf;20031019030949;Fixed errors;22,163
gzcrrbmc;19920105223512;Add Sandbox;106,108,196,179
nsczj1g4;20090524231258;de-misunderestimating;14,14,158,130,60,80
t97ug4r8;20000702184351;I don't know what these changes are supposed to accomplish but somebody told me to make them.;89,55,98
rwxrzgxa;20060827190326;I would rather be playing SC2.;94,67,80,60,170,6
22wy36s6;20000312012250;woa!! this one was really HARD!;188,187,54
krko321q;19931010180115;first blush;198,118,130
cifx5tyc;20050821214013;Same as last commit with changes;147
ui7yhsfn;19980719233223;Too tired to write descriptive message;12,54,130,68,27,197
tzx0j8xx;19920308094523;final commit.;48,174,147
05kh5tk5;20020127193602;restored deleted entities just to be sure;76
dnwxp9g0;19990606061142;some brief changes;178,170
d72d8fao;20000416021316;One does not simply merge into master;88,24,52,166,137
x9v7ramg;20110102211230;fixed some minor stuff, might need some additional work.;22,5,144,152,154
mxxrfljz;19931219173317;yo recipes;92,194,101,139
4fdpaywb;20020217171921;You can't see it, but I'm making a very angry face right now;39,17,37,106
c2z69agt;19981213093840;better ignores;48,72,97,110
ev0y8h99;19990725152306;Obligatory placeholder commit message;70,92,17,42,14,71,95
cajgg4qg;20070603202714;i think i fixed a bug...;134
cs2iv0z1;20060827180644;pep8 - cause I fell like doing a barrel roll;65,132,86,54
g16i7cvg;20090823170311;Final commit, ready for tagging;41,113,88,137,182,133
73j6p9jr;20120916105222;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;7,38,82,92
vz1n6n7g;19930221170605;For real, this time.;57,136,84
prbm710m;19900916111547;added security.;97
eu6b94h0;19980517130611;Final commit, ready for tagging;105,112,4
6b7wyldb;20010225150050;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;145,92,39
881p3oxd;20060827230057;For real, this time.;121,112,109,117,116,17,137
6wbara34;20100228163132;added security.;126
ja0rpfz0;20060723042356;Committed some changes;78,16
ouosmj5b;20030706224855;Do things better, faster, stronger;86,83,48,147
heg3npph;20150809173319;pointless limitation;2,100,12
699obj5s;20060122085857;Made it to compile...;93,5,150,61,129,85,182
3170cwld;19921011181707;For real, this time.;78,125
gtvfpti0;20120115072400;To those I leave behind, good luck!;15,162,16,2
hslsvmno;20090503100415;bugger;166,80
xtzrclpk;20121125203834;fix;194,200,84
8sqayeng;20091220045204;It was the best of times, it was the worst of times;39,97
5dsv5jj4;20010513185801;My bad;64,177
5mibqr8v;20050508180119;This solves it.;190,89
bqhyq0c9;20130602103817;Removed code.;50,157,140,81,156,26,126
6ozhuwna;19900128030042;Another bug bites the dust;167,166,102,32,56
1o46iy6z;20100509110324;grmbl;163,7
t85nnwaw;20140727142813;I expected something different.;11,55,45
d8yycd5y;19940227211702;fix tpyo;26,44,63
kka7ypvn;20000123162242;ALL SORTS OF THINGS;137,157,12,31
y7qveosd;19970928160746;I am sorry;146
2bjvd0p8;20120923164420;Temporary commit.;190,153,64,138,60,143,75
sj3oj7h8;19970504105953;syntax;42,121,119,46,128
61pcrrc7;20100905074536;needs more cow bell;74,186,57
wgl2q715;20080302180236;I would rather be playing SC2.;100,117,180,137
lxnxv02o;19980315193530;Update .gitignore;104,73,39,62
ftsua04d;19941204231722;Batman! (this commit has no parents);9
xwjxaewa;20140413175824;and so the crazy refactoring process sees the sunlight after some months in the dark!;155,25,177,42,148
abjqagmx;19900506172454;Fixed errors;11
7r2dcyih;20000903154620;Add Sandbox;19,189,14,180,109,37,1
d8p87mnp;20090927211453;de-misunderestimating;197,115,149,30,190
imyolbjx;19961208134436;I don't know what these changes are supposed to accomplish but somebody told me to make them.;168,174,46,185,52,67,85
0xy9tl7k;20151115171731;I would rather be playing SC2.;169,178,60,128,105
lafz3fc1;20101128002522;woa!! this one was really HARD!;7,20
xp46ico3;20041226062927;first blush;186,166,138,196,63,194,168
hbejbbo8;19951231182042;Same as last commit with changes;177,185,108
c0pa19bd;19900715233408;Too tired to write descriptive message;141,152,66,129,59,139
ofc7ks6z;20081116135039;final commit.;10,168
qzhy40l3;19991219231056;restored deleted entities just to be sure;41,35,122
prr0rnn4;20150712175102;some brief changes;189,110,98,88,60,3
t12hqgdz;20130310233103;One does not simply merge into master;1,185,40
txeo4n2x;20030622031840;fixed some minor stuff, might need some additional work.;9,97,81,45,168,96,174
lgjyv8ky;20031012035543;yo recipes;80,82,3
d08yj8lt;19920315144816;You can't see it, but I'm making a very angry face right now;119,46,149,109,198,60,14
htlk7vg1;20010722101930;better ignores;148,165,155,13
fj47e0so;19960114075855;Obligatory placeholder commit message;193,64,182,181,21
w47hy9s0;20120212060531;i think i fixed a bug...;44,143,26,178,141,11
jzd9k7m2;19981227064448;pep8 - cause I fell like doing a barrel roll;7
69uu50n5;19980823072918;Final commit, ready for tagging;162,38,49,97
abgx0l1c;20090419045134;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;33,5,171,45,29,84
ybx627p5;20110220193713;For real, this time.;110,41
1dihy8xt;20110313222658;added security.;49
kzdt1xn2;19980726023950;Committed some changes;32,191,195,3
bsaj3kka;20000903215023;Do things better, faster, stronger;166,95,11,161,80
2iigvi1f;20101010044945;pointless limitation;104,3,13,179,15,11,173
5jcn1ebn;20050619034857;Made it to compile...;156,11,144
zv3hxbte;19961229100328;For real, this time.;106,80,158,4
6folot90;20041212075430;To those I leave behind, good luck!;102,118,101,198,124
yozqqfgk;19981004135044;bugger;128,97
sgywndej;20060924205019;fix;165,66,109
yd2jske7;19921213232053;It was the best of times, it was the worst of times;175,33,92,22,17
gxaq9m20;20040606213837;My bad;106
cjivpvbs;19910421031642;This solves it.;142
79wxaqkp;20071223203900;Removed code.;114,160,176,45,5
i7oj68ab;19931219002513;Another bug bites the dust;92,141,37,39
zs7szdyj;20050130051832;grmbl;120,37,102,88,135,183,127
ovjmen39;20021215135319;I expected something different.;155,81,109
udxnocsq;20020609094406;fix tpyo;185,37,4
kbbstcm2;20120617071929;ALL SORTS OF THINGS;56
qsnoud6s;20030330123826;I am sorry;9,149
m3y38wxj;19910331144458; - Temporary commit.;137,155,22,76,29,160
s36h3bup;20100425180231;syntax;170,46,69,25,151
jxr2p75t;20011028191910;needs more cow bell;64,35,200,42,89,195
hnx8by28;20071209215045;I would rather be playing SC2.;132,122,35,185,159,88
qlm4uw40;19970302053550;Update .gitignore;171
xjca3dwm;20021103214045;Batman! (this commit has no parents);81
by2le6vo;20140615032736;and so the crazy refactoring process sees the sunlight after some months in the dark!;81,18,154
yh70quq2;20120408184641;Fixed errors;15,153,169,158,100,164,49
ho806apm;20010812184116;Add Sandbox;137
7xn0daea;20090809133400;de-misunderestimating;41,80,6,190,131,35,58
lxuvqnmi;20120226234127;I don't know what these changes are supposed to accomplish but somebody told me to make them.;54,76,109,29,70,172,187
msl6u4ec;20110327202208;I would rather be playing SC2.;177,152,77,151,142,67,163
mtdnvcnc;19901118053716;woa!! this one was really HARD!;55,33,197
ymsrzg7q;20001001171230;first blush;123,76,196,116,59,11
lkpfdere;19900812010209;Same as last commit with changes;127,10,167,198,69,185
6w69wl6t;19920426093905;Too tired to write descriptive message;107,185,106,162,187
tds6bic4;19990418162525;final commit.;198,119
95c4uo72;20010819230414;restored deleted entities just to be sure;186
1r2bw9tr;20010708141322;some brief changes;87,102
308ceobj;20071125053532;One does not simply merge into master;58,66,176
fvn7d17k;20081123145300;fixed some minor stuff, might need some additional work.;33,145,158,151,140,28
xc9ehriw;19930307215912;yo recipes;112,58,124,174,91
ty6917r7;20111204123032;You can't see it, but I'm making a very angry face right now;77,67,18,137,35
46hbmevz;20030713201831;better ignores;124,12,94,146,161,23
rsd245va;19940925150554;Obligatory placeholder commit message;191,156,108,180,194,109,99
ov7d7c3g;20040801125745;i think i fixed a bug...;138,168,77,67,118
4ix9uwje;20150607101935;pep8 - cause I fell like doing a barrel roll;78,139
02xh1q3l;20000227140326;Final commit, ready for tagging;4
quysvtog;20140323111215;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;107,128,18
88iu7sc4;20071007115520;For real, this time.;151,59,132,177,159,86
6xb15l4k;19990905174011;added security.;158,30,152,156,63,133,178
5f5rs0aa;20041017112013;Committed some changes;108,71,3,41,82
5ywd459x;20110508042145;Do things better, faster, stronger;83,37,90,66,104
yfk1gktx;20050206193223;pointless limitation;187,188,94
6byhs3o2;19960728065637;Made it to compile...;125,66
wfwjza30;19910721112458;For real, this time.;45,120,23,97,170,78
zvf9gj7y;19980308055840;To those I leave behind, good luck!;43,28,125,103,152
xvtc829w;19980802235848;bugger;117
pu747dwv;20060305141410;fix;164,16,41,10,195,124
p9cdojgk;20070909165803;It was the best of times, it was the worst of times;18,119,169,126,27,80,58
fr740gtb;19960505062520;My bad;198,44
yq095zrx;19910922213613;This solves it.;94,162,104,65,179,195,61
6u6fdsgm;19960728081304;Removed code.;172,140,57,86,74,43
l1zv0miv;20101003225020;Another bug bites the dust;147,159,60,11,173,181,97
2zepntau;19930418125525;grmbl;151,177,200,138,37
pknl2i8o;19961124142832;I expected something different.;65
r7qdq4l3;19931031043514;fix tpyo;64,56,65
6nrq9lm2;19980809042858;ALL SORTS OF THINGS;82,137,98,77,30,75,189
hfzs2n8b;19950514005512;I am sorry;26,76,189
o6kcbw89;20040509001620; - Temporary commit.;123,135
1bhfn8x8;20050306092412;syntax;159,123,65,146,99,164,195
348wggpu;20040321141206;needs more cow bell;186
ulnimdm1;19991205053219;I would rather be playing SC2.;113,173,191,3,126
vzqaejf8;19960811144113;Update .gitignore;21,90,48,183
j9nd7v0l;20150315094650;Batman! (this commit has no parents);126,61,180
6ybvlsnj;19931226200521;and so the crazy refactoring process sees the sunlight after some months in the dark!;113,140,33
9i17c66e;20001015190543;Fixed errors;121,189,132,61,131
uezlf32x;20011028012649;Add Sandbox;27,85,123,72,66
sacbzvfn;20130428073349;de-misunderestimating;32,52,32,44
zc13xab0;20040912233107;I don't know what these changes are supposed to accomplish but somebody told me to make them.;22,47,163,89,48,15,200
npsr1mpx;19950806185835;I would rather be playing SC2.;96,32,110,154,32
akz5f7e6;20101114210705;woa!! this one was really HARD!;166,101
9xqouca9;20111106085408;first blush;144,129
3d97eohs;20010204235955;Same as last commit with changes;164,196
5j655kep;20031228225857;Too tired to write descriptive message;84,52
ufn1nqs0;19990919173407;final commit.;156,163,142
r0fc1wtb;20071028122450;restored deleted entities just to be sure;119
7d3gmu7w;20001217195448;some brief changes;199,143,48,5
i03o2p1r;20000312050948;One does not simply merge into master;109,17,42,81
t9zfhwhx;20010701174147;fixed some minor stuff, might need some additional work.;8,30,94
0hpt39vo;19970323141215;yo recipes;171,195,170,181
mr8g2ubs;20130127115316;You can't see it, but I'm making a very angry face right now;165,155,141,125
ja60gksb;20070617112832;better ignores;187,107,36
i86w6mgd;20031012071027;Obligatory placeholder commit message;47,49,110,6
jcdz1lae;20141221113300;i think i fixed a bug...;194,77,55,5,33,83,62
8kccg93w;20110424074004;pep8 - cause I fell like doing a barrel roll;77
8s8rlswi;20121104155124;Final commit, ready for tagging;5,189,145,194,4,17
wticirbp;20080615224419;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;107,67
emqea7wq;19960407202322;For real, this time.;23,87,126,115,62,36,84
gg10f7wx;19990905180750;added security.;151,87,186
ws9y4d7l;20010128065129;Committed some changes;119,15,145
cg9getxt;19931107171409;Do things better, faster, stronger;102,196
9d6ac7w1;19970406201551;pointless limitation;38,45,177
e87n2noi;20051204050226;Made it to compile...;124,199,89,11,17,153,77
a9jnq2a8;20030907123133;For real, this time.;70,83,35,44,60,95
l583genz;20100502160357;To those I leave behind, good luck!;117,165,191,190,2
sos7wwie;20051023052257;bugger;184,83,74
c9lb5szk;20041024141840;fix;123,60,175,187,11,196
gpiq2zos;19950212160932;It was the best of times, it was the worst of times;172,153,168,124,179,155
elrt4h8e;20120902082729;My bad;194,74,4,70,186,92,38
qiwecpyg;20000924195653;This solves it.;107,65,163,113,194,9,130
55s2yp8q;20080330032900;Removed code.;176,186,97,153,55,141
